"Date";"Libellé";"Débit Euros";"Crédit Euros"
"24/04/2014";"Prelevmnt 
Sfr 
Prelevement Sfr Mobile 4n-Easg98-01 
008105554095 
Fr44zzz332801 
++gp20131020356748226 
";19,99;
"23/04/2014";"Intermarche Dac Mons En Ba 22/04 
Paiement Par Carte 
";20;
"23/04/2014";"Siaci Saint Honore Sa Mut 055965 
Virement En Votre Faveur 
Mut  05596577        35405254 
Mut  05596577        35405254 
";;13,8
"23/04/2014";"Siaci Saint Honore Sa Mut 055965 
Virement En Votre Faveur 
Mut  05596577        35444503 
Mut  05596577        35444503 
";;0,9
"22/04/2014";"Lille Bourse     19/04 11h12 
Retrait Au Distributeur 
";80;
"22/04/2014";"Ratp Paris Cedex 12        21/04 
Paiement Par Carte 
";5,3;
"22/04/2014";"Novotel Palaiseau          19/04 
Paiement Par Carte 
";101;
"22/04/2014";"Sncf Internet Isles Les Me 19/04 
Paiement Par Carte 
";125;
"18/04/2014";"Rel.Mons Baroeul           17/04 
Paiement Par Carte 
";12,27;
"17/04/2014";"Relais Bolmon Marignane    16/04 
Paiement Par Carte 
";11,32;
"16/04/2014";"Siaci Saint Honore Sa Mut 055965 
Virement En Votre Faveur 
Mut  05596577        35317662 
Mut  05596577        35317662 
";;39
"16/04/2014";"Predica Predissime 9     237434 
Prelevement 
";100;
"15/04/2014";"Transpole Gr Lille       437061 
Prelevement 
";22,75;
"15/04/2014";"Virement Emis 
Ag Mr   Lepage Thomas 
15/04/2014 
";10;
"14/04/2014";"Prelevmnt 
American Express Carte-France 
Prelevement American Express Carte 
France 
Fr48zzz101869 
E2013067064007965 
";29,69;
"14/04/2014";"Selarl Sohier Lille        11/04 
Paiement Par Carte 
";23;
"14/04/2014";"Cora Flers Villeneuve D A  11/04 
Paiement Par Carte 
";49,11;
"11/04/2014";"Prelevmnt 
Societe Lilloise D'autopartage 
Fact Lepage Jean Claude 
Fr29zzz521154 
++aplil000000192731122013211819 
";6;
"11/04/2014";"Lille            10/04 09h28 
Retrait Au Distributeur 
";80;
"11/04/2014";"Armand Thiery * Lille      10/04 
Paiement Par Carte 
";311,95;
"10/04/2014";"Lib. Eyrolles Paris        09/04 
Paiement Par Carte 
";25,29;
"09/04/2014";"Prelevmnt 
Spb 
Sfr Assur  0069362419 
Fr55zzz115711 
++1090800109363191 
";3;
"09/04/2014";"Sncf Internet Isles Les Me 08/04 
Paiement Par Carte 
";66;
"08/04/2014";"0501118 
Cheque Emis 
";120;
"08/04/2014";"0501121 
Cheque Emis 
";5;
"07/04/2014";"Numericable (02)         473678 
Prelevement 
";45,6;
"04/04/2014";"Edf Simm                 001007 
Paiement Interbancaire 
";130,12;
"07/04/2014";"Cofiroute Rueil Malmaison  03/04 
Paiement Par Carte 
";6,3;
"07/04/2014";"Au Soir D Ete Mesquer      05/04 
Paiement Par Carte 
";385;
"05/04/2014";"99146171890 Echeance    05/04/14 
Remboursement De Pret 
";475,27;
"05/04/2014";"99140207159 Echeance    05/04/14 
Remboursement De Pret 
";346,79;
"05/04/2014";"99140206837 Echeance    05/04/14 
Remboursement De Pret 
";462,38;
"05/04/2014";"01000676949 Echeance    05/04/14 
Remboursement De Pret 
";8,18;
"05/04/2014";"01000676930 Echeance    05/04/14 
Remboursement De Pret 
";86,57;
"05/04/2014";"01000676922 Echeance    05/04/14 
Remboursement De Pret 
";50,92;
"05/04/2014";"01000676914 Echeance    05/04/14 
Remboursement De Pret 
";18,37;
"05/04/2014";"01000676906 Echeance    05/04/14 
Remboursement De Pret 
";1087,63;
"04/04/2014";"Gdf Tip                  002381 
Paiement Interbancaire 
";453,22;
"04/04/2014";"Auchan Carburan Poitiers   03/04 
Paiement Par Carte 
";22,7;
"04/04/2014";"Sas Si.Do.Re St Martin De  03/04 
Paiement Par Carte 
";15,59;
"04/04/2014";"Autoroute Du Su Vedene     02/04 
Paiement Par Carte 
";6,3;
"04/04/2014";"Virement Emis 
Web Lepage Jean Claude Apport Cc 
Apport Cc 
04/04/2014 
";500;
"03/04/2014";"Peage Pt De Re La Rochelle 02/04 
Paiement Par Carte 
";8;
"03/04/2014";"Virement Emis 
Ag Mme Lepage Brosse A 
03/04/2014 
";1000;
"02/04/2014";"Assurance Pret Habitat 04/14 
Reglement 
";106,82;
"02/04/2014";"Canalplay Infin Issy Les M 01/04 
Paiement Par Carte 
";6,99;
"01/04/2014";"Cotis Csca Confort Famille 
Cotisation 
";3,38;
"01/04/2014";"Prelevmnt 
A.G.P.M. Toulon 
Ref Creancier Fr29def000264 
Fr29def000264 
++02064451u-Def-G 
";91,65;
"01/04/2014";"Assevillers      31/03 18h50 
Retrait Au Distributeur 
";90;
;;;
"  ";;;
;;;
;;;
;;;
;;;
;;;
;;;
"  ";;;
